Dat,Site Name,Status,Priority,Severity,Screen Status,State,Case status,Type,Category,Reported Issue,Resolution,Queue Name,Region,Market,Creation Time,Last Update Time,Resolution time
1880586,Odeon Leicester Square,Resolved,Minor,Medium (Minor),UP,France,Resolved,Email Request,Network,UPS Issue,Replaced UPS Batteries,Future Work,EMEA,Market-Germany,8/23/2025 13:31,8/23/2025 13:31,0
1880587,Cineworld Birmingham,Solving,Minor,Low (Minor),UP,France,Solving,Email Request,Screen / Masking,Application Not Responding,Replaced UPS Batteries,EMEA Dispatched,EMEA,Market-Saudi Arabia,2/6/2025 13:31,2/6/2025 13:31,0
1880588,Wanda XiAn Gaoxin,Closed,Major,High (Major),UP,Thailand,Closed,Email Request,Projector,CAN NOT POWER-UP COMPONENT,Power cycled / Reboot Server,APAC Issues,APAC,Market-Japan,10/27/2025 13:31,10/30/2025 13:31,3
1880589,Dolby Burbank Umlang,Solving,Major,Medium (Major),UP,TX,Solving,Web Support,Screen / Masking,NO IMAGE,Adjusted Settings,Customer Managed,Americas,Market-SAD,4/5/2025 13:31,4/6/2025 13:31,1
1880590,Pathe Nice Gare Du Sud,Solving,Minor,Low (Minor),UP,Netherlands,Solving,Email Request,Network,INTERMITTENT AUDIO,Hardware Replaced,Future Work,EMEA,Market-Kuwait,4/17/2025 13:31,4/17/2025 13:31,0
1880591,Wanda Chengdu Wuhou,Solving,Major,Medium (Major),Please Specify,Japan,Solving,Email Request,Audio,IMPROPER AUDIO LEVEL,Power cycled / Reboot Server,APAC Dispatched,APAC,Market-Hong Kong,3/14/2025 13:31,3/14/2025 13:31,0
1880592,Wanda Shanghai Darongcheng,Closed,Critical,High (Critical),UP,China,Closed,Phone Call,Screen / Masking,CAN NOT POWER-UP COMPONENT,Software Update Applied,APAC Dispatched,APAC,Market-Singapore,8/23/2025 13:31,8/23/2025 13:31,0
1880593,Odeon Leicester Square,Solving,Minor,Medium (Minor),UP,Kuwait,Solving,Email Request,Audio,Content Update Request,Replaced Component,EMEA Issues,EMEA,Market-UK-CDS-VUK-CDS,5/21/2025 13:31,5/21/2025 13:31,0
1880594,CGV Shanghai Fudi,Solving,Minor,Low (Minor),DOWN,China,Solving,Email Request,Facility,UPS Issue,Software Update Applied,APAC Dispatched,APAC,Market-Hong Kong,7/30/2025 13:31,7/30/2025 13:31,0
1880595,Cinemark Playa Vista,Under Review,Major,Medium (Major),UP,TN,Under Review,Web Support,Facility,IMAGE GEOMETRY/ALIGNMENT ISSUE,Replaced UPS Batteries,3rd Party Issues,Americas,Market-NSH,5/8/2025 13:31,5/8/2025 13:31,0
1880596,Wanda Chengdu Wuhou,Resolved,Major,High (Major),UP,Singapore,Resolved,Web Support,Automation,Software Not Responding,Recalibrated System,APAC Issues,APAC,Market-Thailand,3/18/2025 13:31,3/18/2025 13:31,0
1880597,Cineworld Birmingham,Solving,Informational,Low (Minor),UP,Netherlands,Solving,Web Support,Screen / Masking,PLAYBACK STOPPED UNEXPECTEDLY,Software Update Applied,Future Work,EMEA,Market-France-ADDE-CDS,3/17/2025 13:31,3/18/2025 13:31,1
1880598,Wanda XiAn Gaoxin,Closed,Major,High (Major),UP,Singapore,Closed,Email Request,Audio,IMAGE DISCOLORATION,Replaced Qalif,APAC Issues,APAC,Market-Singapore,4/15/2025 13:31,4/15/2025 13:31,0
1880599,Odeon Leicester Square,Solving,Informational,Low (Minor),DOWN,Netherlands,Solving,Email Request,Audio,Screen Shaker Vibration,Replaced Component,Future Work,EMEA,Market-France-ADDE-CDS,10/3/2025 13:31,10/3/2025 13:31,0
1880600,Muvi Mall of Dhahran,Closed,Major,Medium (Major),UP,Kuwait,Closed,Email Request,Automation,PLAYBACK STOPPED UNEXPECTEDLY,Replaced UPS Batteries,Future Work,EMEA,Market-Kuwait,1/10/2025 13:31,1/10/2025 13:31,0
1880601,Muvi Mall of Dhahran,Under Review,Major,Medium (Major),UP,Germany,Under Review,Email Request,Screen / Masking,Application Not Responding,Replaced Component,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,6/10/2025 13:31,6/11/2025 13:31,1
1880602,Golden Harvest Hong Kong,Solving,Major,High (Major),UP,Thailand,Solving,Email Request,Screen / Masking,Color Calibration Required,Hardware Replaced,APAC Dispatched,APAC,Market-Hong Kong,5/8/2025 13:31,5/8/2025 13:31,0
1880603,Odeon Thorpe Park,Solving,Minor,Low (Minor),UP,Netherlands,Solving,Email Request,Qalif,TPC Display Issue,Replaced Component,EMEA Dispatched,EMEA,Market-Netherlands-CN-CDS-VG,3/27/2025 13:31,3/27/2025 13:31,0
1880604,Pathe Nice Gare Du Sud,Solving,Major,Medium (Major),UP,Netherlands,Solving,Email Request,Screen / Masking,UPS Issue,Replaced UPS Batteries,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,6/6/2025 13:31,6/6/2025 13:31,0
1880605,Kinopolis Munich,Closed,Major,Medium (Major),DOWN,England,Closed,Email Request,Screen / Masking,IMPROPER AUDIO LEVEL,Pending Resolution,Future Work,EMEA,Market-Germany,4/25/2025 13:31,4/25/2025 13:31,0
1880606,Lotte Cinema Seoul,Resolved,Major,Medium (Major),UP,China,Resolved,Email Request,Qalif,IMPROPER AUDIO LEVEL,Replaced Qalif,APAC Issues,APAC,Market-Thailand,10/6/2025 13:31,10/8/2025 13:31,2
1880607,CGV Seoul Gangnam,Solving,Minor,Medium (Minor),UP,Singapore,Solving,Web Support,Dolby Corridor,Software Not Responding,Software Update Applied,APAC Issues,APAC,Market-China-CGV,7/22/2025 13:31,7/22/2025 13:31,0
1880608,KNCC Cinescape Avenues,Resolved,Critical,High (Critical),UP,France,Resolved,Email Request,Projector,Screen Shaker Vibration,Recalibrated System,EMEA Issues,EMEA,Market-Saudi Arabia,6/22/2025 13:31,6/23/2025 13:31,1
1880609,CGV Seoul Gangnam,Under Review,Critical,High (Critical),DOWN,Korea,Under Review,Web Support,Qalif,Color Calibration Required,Network Configuration Fixed,APAC Dispatched,APAC,Market-Korea,4/19/2025 13:31,4/19/2025 13:31,0
1880610,Wanda Chengdu Wuhou,Resolved,Major,Medium (Major),UP,Thailand,Resolved,Email Request,Audio,Hardware Issues,Replaced Qalif,APAC Dispatched,APAC,Market-Hong Kong,1/31/2025 13:31,1/31/2025 13:31,0
1880611,AMC Empire 25 - 0552,Under Review,Critical,High (Critical),UP,KY,Under Review,Email Request,Dolby Corridor,NO IMAGE,Replaced Qalif,Customer Managed,Americas,Market-NY,1/10/2025 13:31,1/10/2025 13:31,0
1880612,AMC Mission Valley 20 - 0246,Resolved,Minor,Low (Minor),UP,TN,Resolved,Email Request,Audio,UPS Issue,Firmware Updated,3rd Party Issues,Americas,Market-NJ,3/22/2025 13:31,3/22/2025 13:31,0
1880613,Cinemark Playa Vista,Solving,Major,Medium (Major),DOWN,CA,Solving,Email Request,Automation,Application Not Responding,Adjusted Settings,CSE Dispatched,Americas,Market-COLOH,2/12/2025 13:31,2/12/2025 13:31,0
1880614,Golden Harvest Hong Kong,Under Review,Minor,Low (Minor),UP,Korea,Under Review,Web Support,Facility,Network Connectivity Issue,Replaced UPS Batteries,APAC Dispatched,APAC,Market-Thailand,10/28/2025 13:31,10/28/2025 13:31,0
1880615,Vue London Leicester Square,Solving,Critical,High (Critical),UP,Netherlands,Solving,Email Request,Audio,Content Update Request,Network Configuration Fixed,EMEA Issues,EMEA,Market-Saudi Arabia,11/5/2025 13:31,11/5/2025 13:31,0
1880616,CGV Beijing Wanda,Solving,Informational,Low (Minor),Please Specify,Korea,Solving,Email Request,Qalif,Content Update Request,Pending Resolution,APAC Dispatched,APAC,Market-Thailand,9/11/2025 13:31,9/11/2025 13:31,0
1880617,Golden Harvest Hong Kong,Solving,Informational,Low (Minor),UP,Thailand,Solving,Web Support,Screen / Masking,PLAYBACK STOPPED UNEXPECTEDLY,Recalibrated System,APAC Dispatched,APAC,Market-Japan,9/1/2025 13:31,9/2/2025 13:31,1
1880618,Pathe Belle Epine - Thiais,Solving,Informational,Low (Minor),UP,Germany,Solving,Email Request,Audio,Disk Capacity Warning,Pending Resolution,EMEA Issues,EMEA,Market-Kuwait,2/17/2025 13:31,2/17/2025 13:31,0
1880619,Wanda Chengdu Wuhou,Solving,Minor,Low (Minor),UP,Korea,Solving,Email Request,Qalif,Screen Shaker Vibration,Firmware Updated,APAC Dispatched,APAC,Market-China-CGV,2/7/2025 13:31,2/7/2025 13:31,0
1880620,Vue Eindhoven,Solving,Minor,Medium (Minor),UP,Kuwait,Solving,Email Request,Facility,Color Calibration Required,Recalibrated System,EMEA Issues,EMEA,Market-Saudi Arabia,1/9/2025 13:31,1/9/2025 13:31,0
1880621,SF Cinema Tokyo,Resolved,Major,Medium (Major),UP,Korea,Resolved,Email Request,Audio,INTERMITTENT AUDIO,Replaced Component,APAC Dispatched,APAC,Market-Korea,11/12/2025 13:31,11/13/2025 13:31,1
1880622,Wanda Shanghai Darongcheng,Solving,Major,High (Major),UP,China,Solving,Email Request,Network,Application Not Responding,Replaced Component,APAC Issues,APAC,Market-Japan,2/18/2025 13:31,2/18/2025 13:31,0
1880623,Lotte Cinema Seoul,Resolved,Critical,High (Critical),UP,Singapore,Resolved,Email Request,Dolby Corridor,Hardware Issues,Adjusted Settings,APAC Dispatched,APAC,Market-Korea,1/6/2025 13:31,1/6/2025 13:31,0
1880624,KNCC Cinescape Avenues,Under Review,Minor,Low (Minor),UP,Netherlands,Under Review,Email Request,Facility,Screen Shaker Vibration,Replaced UPS Batteries,EMEA Dispatched,EMEA,Market-Saudi Arabia,8/29/2025 13:31,8/29/2025 13:31,0
1880625,CGV Beijing Wanda,Solving,Minor,Medium (Minor),UP,Singapore,Solving,Email Request,Audio,INTERMITTENT AUDIO,Software Update Applied,APAC Issues,APAC,Market-Singapore,9/28/2025 13:31,9/28/2025 13:31,0
1880626,AMC Lincoln Square 13 - 2310,Under Review,Major,Medium (Major),UP,KY,Under Review,Email Request,Screen / Masking,NO IMAGE,Replaced Qalif,CSE Dispatched,Americas,Market-NY,1/19/2025 13:31,1/20/2025 13:31,1
1880627,Pathe Massy,Closed,Major,Medium (Major),UP,France,Closed,Web Support,Network,Color Calibration Required,Power cycled / Reboot Server,EMEA Issues,EMEA,Market-Saudi Arabia,1/18/2025 13:31,1/19/2025 13:31,1
1880628,Cinemark Century City,Solving,Major,High (Major),UP,TX,Solving,Email Request,Audio,Hardware Issues,Replaced Component,3rd Party Issues,Americas,Market-NSH,5/5/2025 13:31,5/5/2025 13:31,0
1880629,Wanda XiAn Gaoxin,Resolved,Critical,High (Critical),DOWN,Thailand,Resolved,Email Request,Dolby Corridor,TPC Display Issue,Pending Resolution,APAC Dispatched,APAC,Market-Japan,4/23/2025 13:31,4/23/2025 13:31,0
1880630,SF Cinema Tokyo,Closed,Informational,Low (Minor),DOWN,Singapore,Closed,Email Request,Automation,Application Not Responding,Power cycled / Reboot Server,APAC Dispatched,APAC,Market-Hong Kong,4/13/2025 13:31,4/13/2025 13:31,0
1880631,Cineworld Birmingham,Resolved,Major,High (Major),UP,Germany,Resolved,Email Request,Dolby Corridor,Booth Temperature Issue,Replaced Qalif,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,9/1/2025 13:31,9/1/2025 13:31,0
1880632,CGV Shanghai Fudi,Resolved,Critical,High (Critical),UP,Thailand,Resolved,Email Request,Dolby Corridor,Hardware Issues,Power cycled / Reboot Server,APAC Issues,APAC,Market-Korea,4/18/2025 13:31,4/19/2025 13:31,1
1880633,Wanda Changsha,Under Review,Minor,Medium (Minor),UP,China,Under Review,Email Request,Dolby Corridor,IMAGE DISCOLORATION,Power cycled / Reboot Server,APAC Issues,APAC,Market-Hong Kong,1/26/2025 13:31,1/26/2025 13:31,0
1880634,AMC Jersey Gardens 20 - 2198,Resolved,Major,Medium (Major),UP,CA,Resolved,Email Request,Audio,Content Update Request,Recalibrated System,Customer Managed,Americas,Market-COLOH,3/6/2025 13:31,3/7/2025 13:31,1
1880635,CGV Seoul Gangnam,Under Review,Minor,Medium (Minor),DOWN,Korea,Under Review,Email Request,Qalif,Booth Temperature Issue,Network Configuration Fixed,APAC Dispatched,APAC,Market-Thailand,8/26/2025 13:31,8/26/2025 13:31,0
1880636,Wanda Jiaxing,Resolved,Minor,Low (Minor),UP,Korea,Resolved,Email Request,Dolby Corridor,Disk Capacity Warning,Network Configuration Fixed,APAC Issues,APAC,Market-Singapore,3/14/2025 13:31,3/14/2025 13:31,0
1880637,Wanda Shanghai Darongcheng,Solving,Major,Medium (Major),UP,Japan,Solving,Email Request,Dolby Corridor,UPS Issue,Power cycled / Reboot Server,APAC Dispatched,APAC,Market-Japan,1/19/2025 13:31,1/19/2025 13:31,0
1880638,SF Cinema Tokyo,Solving,Major,Medium (Major),UP,China,Solving,Email Request,Facility,Booth Temperature Issue,Power cycled / Reboot Server,APAC Issues,APAC,Market-Hong Kong,9/18/2025 13:31,9/18/2025 13:31,0
1880639,Regal LA Live,Solving,Major,High (Major),UP,NY,Solving,Email Request,Audio,Color Calibration Required,Replaced Qalif,EM3 Issues,Americas,Market-CA,10/26/2025 13:31,10/27/2025 13:31,1
1880640,Wanda Shanghai Darongcheng,Resolved,Critical,High (Critical),UP,Japan,Resolved,Web Support,Audio,Screen Shaker Vibration,Software Update Applied,APAC Issues,APAC,Market-Hong Kong,3/22/2025 13:31,3/22/2025 13:31,0
1880641,Cinemark Playa Vista,Solving,Major,Medium (Major),UP,TX,Solving,Email Request,Automation,Screen Shaker Vibration,Hardware Replaced,3rd Party Issues,Americas,Market-SAF,4/19/2025 13:31,4/19/2025 13:31,0
1880642,Muvi Mall of Dhahran,Resolved,Major,High (Major),UP,Netherlands,Resolved,Email Request,Screen / Masking,Disk Capacity Warning,Recalibrated System,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,7/9/2025 13:31,7/9/2025 13:31,0
1880643,Dolby Headquarters 1,Closed,Major,Medium (Major),UP,KY,Closed,Email Request,Facility,Content Update Request,Power cycled / Reboot Server,EM3 Issues,Americas,Market-COLOH,8/6/2025 13:31,8/6/2025 13:31,0
1880644,AMC Newport On The Levee 20 - 0665,Under Review,Minor,Low (Minor),UP,KY,Under Review,Phone Call,Dolby Corridor,TPC Display Issue,Hardware Replaced,CSE Dispatched,Americas,Market-SAF,5/14/2025 13:31,5/14/2025 13:31,0
1880645,AMC Mission Valley 20 - 0246,Resolved,Informational,Low (Minor),DOWN,NJ,Resolved,Web Support,Screen / Masking,Hardware Issues,Adjusted Settings,3rd Party Issues,Americas,Market-NSH,10/31/2025 13:31,10/31/2025 13:31,0
1880646,Lotte Cinema Seoul,Solving,Major,Medium (Major),UP,China,Solving,Email Request,Facility,Color Calibration Required,Replaced UPS Batteries,APAC Dispatched,APAC,Market-Korea,4/12/2025 13:31,4/12/2025 13:31,0
1880647,Lotte Cinema Seoul,Under Review,Major,Medium (Major),UP,Singapore,Under Review,Email Request,Dolby Corridor,IMAGE DISCOLORATION,Pending Resolution,APAC Dispatched,APAC,Market-Hong Kong,6/3/2025 13:31,6/3/2025 13:31,0
1880648,CGV Beijing Wanda,Resolved,Major,Medium (Major),DOWN,China,Resolved,Email Request,Network,IMAGE GEOMETRY/ALIGNMENT ISSUE,Recalibrated System,APAC Issues,APAC,Market-China-CGV,1/21/2025 13:31,1/22/2025 13:31,1
1880649,Cineworld Birmingham,Solving,Major,High (Major),UP,Kuwait,Solving,Email Request,Network,IMAGE GEOMETRY/ALIGNMENT ISSUE,Network Configuration Fixed,EMEA Issues,EMEA,Market-France-ADDE-CDS,10/28/2025 13:31,10/28/2025 13:31,0
1880650,Major Cineplex Bangkok,Under Review,Major,Medium (Major),UP,Thailand,Under Review,Email Request,Audio,IMAGE DISCOLORATION,Adjusted Settings,APAC Dispatched,APAC,Market-China-CGV,6/24/2025 13:31,6/24/2025 13:31,0
1880651,CGV Beijing Wanda,Under Review,Major,Medium (Major),UP,Singapore,Under Review,Email Request,Qalif,Application Not Responding,Network Configuration Fixed,APAC Dispatched,APAC,Market-Hong Kong,5/23/2025 13:31,5/23/2025 13:31,0
1880652,AMC Empire 25 - 0552,Solving,Informational,Low (Minor),DOWN,NJ,Solving,Email Request,Network,Disk Capacity Warning,Network Configuration Fixed,Customer Managed,Americas,Market-NJ,8/19/2025 13:31,8/19/2025 13:31,0
1880653,Odeon Leicester Square,Under Review,Major,Medium (Major),UP,England,Under Review,Email Request,Network,Booth Audio Monitor Issue,Replaced Qalif,EMEA Issues,EMEA,Market-Germany,11/1/2025 13:31,11/1/2025 13:31,0
1880654,AMC Staten Island Mall 11 - 0558,Under Review,Minor,Low (Minor),UP,TX,Under Review,Email Request,Automation,Booth Temperature Issue,Adjusted Settings,3rd Party Issues,Americas,Market-SAD,2/13/2025 13:31,2/13/2025 13:31,0
1880655,Cinemark Century City,Solving,Minor,Low (Minor),UP,TX,Solving,Email Request,Network,Software Not Responding,Replaced Qalif,3rd Party Issues,Americas,Market-NSH,2/28/2025 13:31,2/28/2025 13:31,0
1880656,Kinopolis Munich,Under Review,Minor,Low (Minor),UP,Kuwait,Under Review,Web Support,Dolby Corridor,Auditorium Lighting Issue,Replaced Qalif,Future Work,EMEA,Market-UK-CDS-VUK-CDS,3/16/2025 13:31,3/16/2025 13:31,0
1880657,Golden Harvest Hong Kong,Solving,Major,High (Major),DOWN,Thailand,Solving,Email Request,Dolby Corridor,UPS Issue,Replaced UPS Batteries,APAC Issues,APAC,Market-Thailand,10/31/2025 13:31,10/31/2025 13:31,0
1880658,CGV Seoul Gangnam,Solving,Critical,High (Critical),UP,Korea,Solving,Web Support,Dolby Corridor,Software Not Responding,Power cycled / Reboot Server,APAC Issues,APAC,Market-China-CGV,10/12/2025 13:31,10/12/2025 13:31,0
1880659,Dolby Burbank Umlang,Under Review,Major,High (Major),UP,OH,Under Review,Email Request,Qalif,Network Connectivity Issue,Recalibrated System,EM3 Issues,Americas,Market-SAD,8/13/2025 13:31,8/13/2025 13:31,0
1880660,Pathe Nice Gare Du Sud,Solving,Major,Medium (Major),Please Specify,England,Solving,Phone Call,Facility,CAN NOT POWER-UP COMPONENT,Software Update Applied,EMEA Dispatched,EMEA,Market-Kuwait,10/5/2025 13:31,10/5/2025 13:31,0
1880661,Cinemark Playa Vista,Solving,Major,High (Major),UP,KY,Solving,Web Support,Facility,IMPROPER AUDIO LEVEL,Power cycled / Reboot Server,Customer Managed,Americas,Market-LA,7/6/2025 13:31,7/6/2025 13:31,0
1880662,Regal LA Live,Solving,Major,High (Major),UP,CA,Solving,Email Request,Network,Hardware Issues,Hardware Replaced,CSE Dispatched,Americas,Market-SAD,5/24/2025 13:31,5/24/2025 13:31,0
1880663,CGV Beijing Wanda,Under Review,Major,High (Major),UP,Korea,Under Review,Web Support,Screen / Masking,Content Update Request,Software Update Applied,APAC Issues,APAC,Market-Korea,3/28/2025 13:31,4/3/2025 13:31,6
1880664,Pathe Nice Gare Du Sud,Resolved,Major,Medium (Major),UP,Netherlands,Resolved,Phone Call,Audio,Software Not Responding,Adjusted Settings,Future Work,EMEA,Market-France-ADDE-CDS,6/23/2025 13:31,6/23/2025 13:31,0
1880665,Pathe Belle Epine - Thiais,Closed,Informational,Low (Minor),DOWN,France,Closed,Email Request,Automation,Content Update Request,Adjusted Settings,EMEA Dispatched,EMEA,Market-Kuwait,8/17/2025 13:31,8/17/2025 13:31,0
1880666,Vue Eindhoven,Solving,Minor,Medium (Minor),UP,England,Solving,Email Request,Audio,NO IMAGE,Hardware Replaced,Future Work,EMEA,Market-Kuwait,8/16/2025 13:31,8/16/2025 13:31,0
1880667,Wanda Shanghai Darongcheng,Under Review,Minor,Low (Minor),UP,Japan,Under Review,Web Support,Audio,IMAGE DISCOLORATION,Replaced Component,APAC Dispatched,APAC,Market-Hong Kong,4/13/2025 13:31,4/13/2025 13:31,0
1880668,Cinemark Century City,Under Review,Minor,Low (Minor),DOWN,TX,Under Review,Email Request,Dolby Corridor,Laser Module Driver Warning,Pending Resolution,3rd Party Issues,Americas,Market-NSH,3/27/2025 13:31,3/27/2025 13:31,0
1880669,SF Cinema Tokyo,Under Review,Major,High (Major),UP,Singapore,Under Review,Email Request,Qalif,TPC Display Issue,Replaced Component,APAC Issues,APAC,Market-Hong Kong,11/13/2025 13:31,11/14/2025 13:31,1
1880670,Kinopolis Munich,Under Review,Major,High (Major),UP,Kuwait,Under Review,Email Request,Automation,INTERMITTENT AUDIO,Power cycled / Reboot Server,EMEA Issues,EMEA,Market-France-ADDE-CDS,12/27/2024 13:31,12/27/2024 13:31,0
1880671,AMC Newport On The Levee 20 - 0665,Solving,Major,Medium (Major),UP,OH,Solving,Email Request,Dolby Corridor,Auditorium Lighting Issue,Network Configuration Fixed,Customer Managed,Americas,Market-CA,3/14/2025 13:31,3/15/2025 13:31,1
1880672,Wanda Jiaxing,Under Review,Informational,Low (Minor),UP,Japan,Under Review,Email Request,Automation,PLAYBACK STOPPED UNEXPECTEDLY,Replaced UPS Batteries,APAC Dispatched,APAC,Market-Thailand,10/5/2025 13:31,10/5/2025 13:31,0
1880673,Wanda Jiaxing,Under Review,Major,Medium (Major),UP,Japan,Under Review,Email Request,Screen / Masking,Hardware Issues,Pending Resolution,APAC Dispatched,APAC,Market-Singapore,4/16/2025 13:31,4/17/2025 13:31,1
1880674,Odeon Thorpe Park,Under Review,Major,High (Major),UP,Netherlands,Under Review,Email Request,Facility,IMAGE DISCOLORATION,Hardware Replaced,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,11/12/2025 13:31,11/14/2025 13:31,2
1880675,Cinemark Century City,Solving,Major,High (Major),UP,KY,Solving,Email Request,Projector,IMAGE GEOMETRY/ALIGNMENT ISSUE,Adjusted Settings,CSE Dispatched,Americas,Market-CA,11/19/2025 13:31,11/20/2025 13:31,1
1880676,Vue London Leicester Square,Under Review,Major,High (Major),UP,England,Under Review,Email Request,Network,IMPROPER AUDIO LEVEL,Software Update Applied,EMEA Issues,EMEA,Market-Germany,6/13/2025 13:31,6/13/2025 13:31,0
1880677,KNCC Cinescape Avenues,Under Review,Informational,Low (Minor),UP,Kuwait,Under Review,Email Request,Automation,Laser Module Driver Warning,Adjusted Settings,EMEA Dispatched,EMEA,Market-Germany,6/9/2025 13:31,6/10/2025 13:31,1
1880678,Pathe Massy,Solving,Major,Medium (Major),UP,France,Solving,Phone Call,Facility,TPC Display Issue,Recalibrated System,Future Work,EMEA,Market-Germany,8/24/2025 13:31,8/27/2025 13:31,3
1880679,Pathe Nice Gare Du Sud,Resolved,Minor,Medium (Minor),UP,Germany,Resolved,Email Request,Screen / Masking,UPS Issue,Power cycled / Reboot Server,Future Work,EMEA,Market-UK-CDS-VUK-CDS,6/4/2025 13:31,6/4/2025 13:31,0
1880680,Wanda Chengdu Wuhou,Under Review,Major,Medium (Major),UP,Thailand,Under Review,Web Support,Dolby Corridor,Network Connectivity Issue,Firmware Updated,APAC Issues,APAC,Market-Japan,4/10/2025 13:31,4/10/2025 13:31,0
1880681,Golden Harvest Hong Kong,Solving,Major,High (Major),UP,Singapore,Solving,Email Request,Projector,Booth Audio Monitor Issue,Recalibrated System,APAC Dispatched,APAC,Market-Hong Kong,11/5/2025 13:31,11/6/2025 13:31,1
1880682,Cinemark Playa Vista,Closed,Minor,Medium (Minor),UP,NJ,Closed,Web Support,Dolby Corridor,CAN NOT POWER-UP COMPONENT,Firmware Updated,3rd Party Issues,Americas,Market-CA,8/14/2025 13:31,8/14/2025 13:31,0
1880683,AMC Empire 25 - 0552,Closed,Minor,Low (Minor),UP,CA,Closed,Email Request,Dolby Corridor,Application Not Responding,Firmware Updated,3rd Party Issues,Americas,Market-NY,3/21/2025 13:31,3/21/2025 13:31,0
1880684,Pathe Rouen Docks 76,Solving,Informational,Low (Minor),UP,Kuwait,Solving,Web Support,Facility,PLAYBACK STOPPED UNEXPECTEDLY,Replaced Component,EMEA Dispatched,EMEA,Market-Netherlands-CN-CDS-VG,4/12/2025 13:31,4/12/2025 13:31,0
1880685,Vue London Leicester Square,Closed,Major,Medium (Major),UP,Germany,Closed,Phone Call,Automation,Auditorium Lighting Issue,Pending Resolution,EMEA Dispatched,EMEA,Market-Saudi Arabia,2/19/2025 13:31,2/21/2025 13:31,2
1880686,AMC Newport On The Levee 20 - 0665,Resolved,Critical,High (Critical),UP,NY,Resolved,Email Request,Facility,Software Not Responding,Replaced Qalif,CSE Dispatched,Americas,Market-NJ,8/5/2025 13:31,8/5/2025 13:31,0
1880687,Pathe Belle Epine - Thiais,Under Review,Major,High (Major),UP,France,Under Review,Email Request,Dolby Corridor,Auditorium Lighting Issue,Pending Resolution,EMEA Issues,EMEA,Market-Saudi Arabia,3/19/2025 13:31,3/20/2025 13:31,1
1880688,AMC Dine-In Thoroughbred 20 - 4457,Solving,Minor,Low (Minor),UP,NY,Solving,Email Request,Network,IMAGE DISCOLORATION,Power cycled / Reboot Server,EM3 Issues,Americas,Market-SAF,5/31/2025 13:31,5/31/2025 13:31,0
1880689,Odeon Thorpe Park,Solving,Major,Medium (Major),UP,Germany,Solving,Email Request,Network,Hardware Issues,Replaced Component,Future Work,EMEA,Market-Kuwait,7/28/2025 13:31,7/31/2025 13:31,3
1880690,AMC Newport On The Levee 20 - 0665,Under Review,Major,Medium (Major),UP,OH,Under Review,Web Support,Network,TPC Display Issue,Pending Resolution,CSE Dispatched,Americas,Market-NY,5/23/2025 13:31,5/24/2025 13:31,1
1880691,Muvi Mall of Dhahran,Solving,Minor,Low (Minor),DOWN,Kuwait,Solving,Email Request,Audio,Laser Module Driver Warning,Adjusted Settings,EMEA Dispatched,EMEA,Market-Saudi Arabia,8/6/2025 13:31,8/6/2025 13:31,0
1880692,Vue Hilversum,Resolved,Major,Medium (Major),UP,England,Resolved,Web Support,Network,Screen Shaker Vibration,Software Update Applied,EMEA Issues,EMEA,Market-Kuwait,6/7/2025 13:31,6/7/2025 13:31,0
1880693,Pathe Rouen Docks 76,Under Review,Major,High (Major),UP,England,Under Review,Email Request,Screen / Masking,UPS Issue,Software Update Applied,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,7/6/2025 13:31,7/6/2025 13:31,0
1880694,AMC Lincoln Square 13 - 2310,Solving,Major,Medium (Major),UP,OH,Solving,Web Support,Network,Application Not Responding,Recalibrated System,Customer Managed,Americas,Market-SAF,3/6/2025 13:31,3/6/2025 13:31,0
1880695,AMC Empire 25 - 0552,Under Review,Major,Medium (Major),UP,OH,Under Review,Web Support,Automation,Software Not Responding,Pending Resolution,CSE Dispatched,Americas,Market-SAD,8/22/2025 13:31,8/23/2025 13:31,1
1880696,AMC Mission Valley 20 - 0246,Under Review,Minor,Low (Minor),UP,TN,Under Review,Web Support,Screen / Masking,Booth Temperature Issue,Recalibrated System,EM3 Issues,Americas,Market-NY,8/2/2025 13:31,8/2/2025 13:31,0
1880697,Lotte Cinema Seoul,Solving,Major,High (Major),UP,Korea,Solving,Email Request,Network,Laser Module Driver Warning,Recalibrated System,APAC Issues,APAC,Market-Thailand,1/4/2025 13:31,1/4/2025 13:31,0
1880698,Major Cineplex Bangkok,Under Review,Major,Medium (Major),UP,Japan,Under Review,Email Request,Facility,IMAGE DISCOLORATION,Power cycled / Reboot Server,APAC Issues,APAC,Market-Korea,6/19/2025 13:31,6/19/2025 13:31,0
1880699,KNCC Cinescape Avenues,Under Review,Minor,Medium (Minor),DOWN,France,Under Review,Email Request,Dolby Corridor,TPC Display Issue,Adjusted Settings,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,8/21/2025 13:31,8/21/2025 13:31,0
1880700,AMC Dine-In Thoroughbred 20 - 4457,Resolved,Major,High (Major),UP,NY,Resolved,Email Request,Audio,UPS Issue,Replaced UPS Batteries,EM3 Issues,Americas,Market-CA,4/11/2025 13:31,4/11/2025 13:31,0
